Pathway	Description	Class 1	Class2
ko00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
ko00020	Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism
ko00030	Pentose phosphate pathway	Metabolism	Carbohydrate metabolism
ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
ko00051	Fructose and mannose metabolism	Metabolism	Carbohydrate metabolism
ko00052	Galactose metabolism	Metabolism	Carbohydrate metabolism
ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
ko00061	Fatty acid biosynthesis	Metabolism	Lipid metabolism
ko00062	Fatty acid elongation	Metabolism	Lipid metabolism
ko00071	Fatty acid degradation	Metabolism	Lipid metabolism
ko00072	Synthesis and degradation of ketone bodies	Metabolism	Lipid metabolism
ko00073	Cutin, suberine and wax biosynthesis	Metabolism	Lipid metabolism
ko00100	Steroid biosynthesis	Metabolism	Lipid metabolism
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism	Metabolism of cofactors and vitamins
ko00190	Oxidative phosphorylation	Metabolism	Energy metabolism
ko00195	Photosynthesis	Metabolism	Energy metabolism
ko00196	Photosynthesis - antenna proteins	Metabolism	Energy metabolism
ko00220	Arginine biosynthesis	Metabolism	Amino acid metabolism
ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
ko00232	Caffeine metabolism	Metabolism	Biosynthesis of other secondary metabolites
ko00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
ko00250	Alanine, aspartate and glutamate metabolism	Metabolism	Amino acid metabolism
ko00260	Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism
ko00261	Monobactam biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
ko00280	Valine, leucine and isoleucine degradation	Metabolism	Amino acid metabolism
ko00281	Geraniol degradation	Metabolism	Metabolism of terpenoids and polyketides
ko00290	Valine, leucine and isoleucine biosynthesis	Metabolism	Amino acid metabolism
ko00300	Lysine biosynthesis	Metabolism	Amino acid metabolism
ko00310	Lysine degradation	Metabolism	Amino acid metabolism
ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
ko00340	Histidine metabolism	Metabolism	Amino acid metabolism
ko00350	Tyrosine metabolism	Metabolism	Amino acid metabolism
ko00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
ko00380	Tryptophan metabolism	Metabolism	Amino acid metabolism
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism	Amino acid metabolism
ko00402	Benzoxazinoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko00403	Indole diterpene alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko00410	beta-Alanine metabolism	Metabolism	Metabolism of other amino acids
ko00430	Taurine and hypotaurine metabolism	Metabolism	Metabolism of other amino acids
ko00440	Phosphonate and phosphinate metabolism	Metabolism	Metabolism of other amino acids
ko00450	Selenocompound metabolism	Metabolism	Metabolism of other amino acids
ko00460	Cyanoamino acid metabolism	Metabolism	Metabolism of other amino acids
ko00470	D-Amino acid metabolism	Metabolism	Metabolism of other amino acids
ko00471	D-Glutamine and D-glutamate metabolism	Metabolism	Metabolism of other amino acids
ko00472	D-Arginine and D-ornithine metabolism	Metabolism	Metabolism of other amino acids
ko00473	D-Alanine metabolism	Metabolism	Metabolism of other amino acids
ko00480	Glutathione metabolism	Metabolism	Metabolism of other amino acids
ko00500	Starch and sucrose metabolism	Metabolism	Carbohydrate metabolism
ko00510	N-Glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko00511	Other glycan degradation	Metabolism	Glycan biosynthesis and metabolism
ko00513	Various types of N-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko00514	Other types of O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko00515	Mannose type O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism	Carbohydrate metabolism
ko00523	Polyketide sugar unit biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
ko00531	Glycosaminoglycan degradation	Metabolism	Glycan biosynthesis and metabolism
ko00540	Lipopolysaccharide biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko00541	Biosynthesis of various nucleotide sugars	Metabolism	Glycan biosynthesis and metabolism
ko00543	Exopolysaccharide biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko00561	Glycerolipid metabolism	Metabolism	Lipid metabolism
ko00562	Inositol phosphate metabolism	Metabolism	Carbohydrate metabolism
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Metabolism	Glycan biosynthesis and metabolism
