GO_terms	Class	Description
GO:0000005	MF	obsolete ribosomal chaperone activity
GO:0000008	MF	obsolete thioredoxin
GO:0000013	MF	obsolete thioredoxin
GO:0000020	BP	obsolete negative regulation of recombination within rDNA repeats
GO:0000039	MF	obsolete plasma membrane long-chain fatty acid transporter
GO:0000044	BP	obsolete ascorbate stabilization
GO:0000047	MF	obsolete Rieske iron-sulfur protein
GO:0000051	BP	obsolete urea cycle intermediate metabolic process
GO:0000059	BP	obsolete protein import into nucleus, docking 
GO:0000060	BP	obsolete protein import into nucleus, translocation 
GO:0000061	BP	obsolete protein import into nucleus, substrate release 
GO:0000067	BP	obsolete DNA replication and chromosome cycle
GO:0000072	BP	obsolete M phase specific microtubule process
GO:0000078	BP	obsolete cytokinesis after mitosis checkpoint
GO:0000083	BP	obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000094	BP	obsolete septin assembly and septum formation
GO:0000108	CC	obsolete repairosome
GO:0000114	BP	obsolete regulation of transcription involved in G1 phase of mitotic cell cycle
GO:0000115	BP	obsolete regulation of transcription involved in S phase of mitotic cell cycle
GO:0000116	BP	obsolete regulation of transcription involved in G2-phase of mitotic cell cycle
GO:0000117	BP	obsolete regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0000131	CC	incipient cellular bud site
GO:0000135	BP	obsolete cytokinesis checkpoint
GO:0000142	CC	cellular bud neck contractile ring
GO:0000144	CC	cellular bud neck septin ring
GO:0000174	BP	obsolete inactivation of MAPK (mating sensu Saccharomyces)
GO:0000180	CC	obsolete cytosolic large ribosomal subunit
GO:0000181	CC	obsolete cytosolic small ribosomal subunit
GO:0000189	BP	obsolete MAPK import into nucleus
GO:0000190	BP	obsolete MAPKKK cascade (pseudohyphal growth)
GO:0000191	BP	obsolete activation of MAPKKK (pseudohyphal growth)
GO:0000192	BP	obsolete activation of MAPKK (pseudohyphal growth)
GO:0000193	BP	obsolete activation of MAPK (pseudohyphal growth)
GO:0000194	BP	obsolete inactivation of MAPK (pseudohyphal growth)
GO:0000195	BP	obsolete nuclear translocation of MAPK (pseudohyphal growth)
GO:0000201	BP	obsolete MAPK import into nucleus involved in cell wall organization or biogenesis
GO:0000202	BP	obsolete MAPKKK cascade during sporulation (sensu Saccharomyces)
GO:0000203	BP	obsolete activation of MAPKKK during sporulation (sensu Saccharomyces)
GO:0000204	BP	obsolete activation of MAPKK during sporulation (sensu Saccharomyces)
GO:0000205	BP	obsolete activation of MAPK during sporulation (sensu Saccharomyces)
GO:0000206	BP	obsolete inactivation of MAPK during sporulation (sensu Saccharomyces)
GO:0000207	BP	obsolete nuclear translocation of MAPK during sporulation (sensu Saccharomyces)
GO:0000208	BP	obsolete MAPK import into nucleus involved in osmosensory signaling pathway
GO:0000211	MF	obsolete protein degradation tagging activity
GO:0000216	BP	obsolete M/G1 transition of mitotic cell cycle
GO:0000219	CC	obsolete vacuolar hydrogen-transporting ATPase
GO:0000230	CC	obsolete nuclear mitotic chromosome
GO:0000231	CC	obsolete cytoplasmic mitotic chromosome
GO:0000232	CC	obsolete nuclear interphase chromosome
GO:0000233	CC	obsolete cytoplasmic interphase chromosome
GO:0000258	MF	obsolete isoleucine/valine:sodium symporter activity
GO:0000259	MF	obsolete intracellular nucleoside transmembrane transporter activity
GO:0000260	MF	obsolete hydrogen-translocating V-type ATPase activity
GO:0000261	MF	obsolete sodium-translocating V-type ATPase activity
GO:0000263	MF	obsolete heterotrimeric G-protein GTPase, alpha-subunit 
GO:0000264	MF	obsolete heterotrimeric G-protein GTPase, beta-subunit 
GO:0000265	MF	obsolete heterotrimeric G-protein GTPase, gamma-subunit 
GO:0000267	CC	obsolete cell fraction
GO:0000282	BP	cellular bud site selection
GO:0000284	BP	obsolete shmoo orientation
GO:0000299	CC	obsolete integral to membrane of membrane fraction
GO:0000300	CC	obsolete peripheral to membrane of membrane fraction
GO:0000324	CC	fungal-type vacuole
GO:0000328	CC	fungal-type vacuole lumen
GO:0000329	CC	fungal-type vacuole membrane
GO:0000336	BP	obsolete positive regulation of transposition, DNA-mediated 
GO:0000337	BP	obsolete regulation of transposition, DNA-mediated 
GO:0000362	MF	obsolete first U2-type spliceosomal transesterification activity
GO:0000363	MF	obsolete first U12-type spliceosomal transesterification activity
GO:0000364	MF	obsolete second U2-type spliceosomal transesterification activity
GO:0000367	MF	obsolete second U12-type spliceosomal transesterification activity
GO:0000399	CC	cellular bud neck septin structure
GO:0000414	BP	obsolete regulation of histone H3-K36 methylation
GO:0000416	BP	obsolete positive regulation of histone H3-K36 methylation
GO:0000456	BP	obsolete dimethylation involved in SSU-rRNA maturation
GO:0000504	CC	obsolete proteasome regulatory particle (sensu Bacteria)
GO:0000578	BP	embryonic axis specification
GO:0000728	BP	gene conversion at mating-type locus, DNA double-strand break formation
GO:0000734	BP	gene conversion at mating-type locus, DNA repair synthesis
GO:0000739	MF	obsolete DNA strand annealing activity
GO:0000742	BP	karyogamy involved in conjugation with cellular fusion
GO:0000743	BP	nuclear migration involved in conjugation with cellular fusion
GO:0000744	BP	karyogamy involved in conjugation with mutual genetic exchange
GO:0000745	BP	nuclear migration involved in conjugation with mutual genetic exchange
GO:0000746	BP	conjugation
GO:0000747	BP	conjugation with cellular fusion
GO:0000748	BP	conjugation with mutual genetic exchange
GO:0000749	BP	response to pheromone triggering conjugation with cellular fusion
GO:0000750	BP	pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000752	BP	agglutination involved in conjugation with cellular fusion
GO:0000753	BP	cell morphogenesis involved in conjugation with cellular fusion
GO:0000754	BP	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
GO:0000755	BP	cytogamy
GO:0000756	BP	response to pheromone regulating conjugation with mutual genetic exchange
GO:0000757	BP	obsolete signal transduction involved in regulation of conjugation with mutual genetic exchange
GO:0000758	BP	agglutination involved in conjugation with mutual genetic exchange
GO:0000759	BP	cell morphogenesis involved in conjugation with mutual genetic exchange
GO:0000760	BP	adaptation to pheromone regulating conjugation with mutual genetic exchange
GO:0000762	BP	pheromone-induced unidirectional conjugation
GO:0000763	BP	obsolete cell morphogenesis involved in unidirectional conjugation
